,Metric,Value,Lagged
0,"('Close', 'AUD')",-0.04595638636487293,-0.04528366744227899
1,"('Close', 'BDT')",-0.01040241805736884,-0.006775260039746324
2,"('Close', 'CNY')",-0.026759456208493206,-0.020638066820733405
3,"('Close', 'HKD')",-0.06802307775412438,-0.005091322841057603
4,"('Close', 'IDR')",-0.028155798329577507,-0.011908390656462113
5,"('Close', 'INR')",-0.029300824355302693,-0.02682055344347901
6,"('Close', 'JPY')",-0.022808328786656187,-0.021920099883417678
7,"('Close', 'KRW')",-0.025702749893365993,-0.01947783069679272
8,"('Close', 'LKR')",-0.030042100303785856,-0.028140716766332164
9,"('Close', 'MNT')",-0.03773034371452193,-0.036807266241982745
10,"('Close', 'MYR')",-0.047583129072053566,-0.045209705391138666
11,"('Close', 'NZD')",-0.04971038724616675,-0.04812240333910826
12,"('Close', 'PHP')",-0.06073823551077473,-0.055363015938238606
13,"('Close', 'PKR')",-0.019255256700450304,-0.018653674436585853
14,"('Close', 'SGD')",-0.043890546468476226,-0.03656046108121055
15,"('Close', 'THB')",-0.029214863065943203,-0.0234444675757509
16,"('Close', 'TWD')",-0.019808735221099424,-0.011710939435829898
17,"('Close', 'VND')",-0.03798514250354474,-0.03371990954532051
18,"('High', 'AUD')",-0.04727867930886118,-0.044933146359208545
19,"('High', 'BDT')",-0.011371723788613869,-0.00740682444966418
20,"('High', 'CNY')",-0.02675162874678574,-0.021111535289286495
21,"('High', 'HKD')",-0.0666083317241109,-0.005256904698636865
22,"('High', 'IDR')",-0.02827851980338516,-0.01282600159008216
23,"('High', 'INR')",-0.029079854047719348,-0.0273819434011071
24,"('High', 'JPY')",-0.024504724861642176,-0.021176553386589875
25,"('High', 'KRW')",-0.028767069780591934,-0.020148968168799124
26,"('High', 'LKR')",-0.029898035709381876,-0.02830922648234811
27,"('High', 'MNT')",-0.037683086413247475,-0.036750644804526375
28,"('High', 'MYR')",-0.046960440901522876,-0.045565003878697885
29,"('High', 'NZD')",-0.052256427940523174,-0.04739440811966222
30,"('High', 'PHP')",-0.06015321062400126,-0.05637550664412521
31,"('High', 'PKR')",-0.018216012793668534,-0.01816868814465727
32,"('High', 'SGD')",-0.04492096586934044,-0.03604881875893001
33,"('High', 'THB')",-0.03013842455103626,-0.024871508625578534
34,"('High', 'TWD')",-0.01908635493502143,-0.013023932403776691
35,"('High', 'VND')",-0.03766546294929713,-0.03335125398896126
36,"('Low', 'AUD')",-0.045509752950450996,-0.04422787780369644
37,"('Low', 'BDT')",-0.011232006841538997,-0.006072663795293284
38,"('Low', 'CNY')",-0.0256101560629411,-0.019897571549576474
39,"('Low', 'HKD')",-0.06218003661222236,-0.004116760285216925
40,"('Low', 'IDR')",-0.027941740889475694,-0.012063557823641699
41,"('Low', 'INR')",-0.028057663183126087,-0.02654192116140677
42,"('Low', 'JPY')",-0.023276925933263994,-0.021664426694303327
43,"('Low', 'KRW')",-0.02381692755942197,-0.016854530961797044
44,"('Low', 'LKR')",-0.030141239212658526,-0.028519437571027418
45,"('Low', 'MNT')",-0.03788641997733557,-0.037100137977235534
46,"('Low', 'MYR')",-0.04581838055315712,-0.045356091753468296
47,"('Low', 'NZD')",-0.0487995202400278,-0.04682930409586629
48,"('Low', 'PHP')",-0.05903192359854251,-0.05534025407611449
49,"('Low', 'PKR')",-0.017462984514346934,-0.016665347594555194
50,"('Low', 'SGD')",-0.04452059702647453,-0.036112842243562426
51,"('Low', 'THB')",-0.029223543456866913,-0.02400559612410886
52,"('Low', 'TWD')",-0.017538698722081372,-0.011802451378815821
53,"('Low', 'VND')",-0.036846030724732255,-0.03324046638020344
54,"('Open', 'AUD')",-0.04527950058902558,-0.04407059050018468
55,"('Open', 'BDT')",-0.012408686514191606,-0.008493106886748232
56,"('Open', 'CNY')",-0.025650089853335018,-0.02039088125153527
57,"('Open', 'HKD')",-0.06179704761141289,-0.005267475121035955
58,"('Open', 'IDR')",-0.025359941068106344,-0.013156148716855533
59,"('Open', 'INR')",-0.027684317678766997,-0.02725135331190762
60,"('Open', 'JPY')",-0.025373485563231074,-0.02106658880939189
61,"('Open', 'KRW')",-0.02194993803800522,-0.016606188461053013
62,"('Open', 'LKR')",-0.029903172367017488,-0.028715610657745333
63,"('Open', 'MNT')",-0.037961302893937024,-0.03714248052731837
64,"('Open', 'MYR')",-0.04454105389116951,-0.045697968344790285
65,"('Open', 'NZD')",-0.0486009710498554,-0.04614727840624062
66,"('Open', 'PHP')",-0.05843186245143585,-0.05604105441043935
67,"('Open', 'PKR')",-0.017264289427591773,-0.017248957932865377
68,"('Open', 'SGD')",-0.04455229501505135,-0.03663391229257309
69,"('Open', 'THB')",-0.029025366334645634,-0.02466910400219533
70,"('Open', 'TWD')",-0.015373578226533147,-0.012601532838359847
71,"('Open', 'VND')",-0.036372731719905356,-0.0329109387319162
72,"('Intraday_OC', 'AUD')",-0.010631590060039189,-0.02517578635909035
73,"('Intraday_OC', 'BDT')",0.03403415064033248,0.026813448003828545
74,"('Intraday_OC', 'CNY')",-0.030194702581019903,-0.007593870880034169
75,"('Intraday_OC', 'HKD')",-0.06982546496365273,0.009730993253135178
76,"('Intraday_OC', 'IDR')",-0.04521721492871831,0.02746534218352563
77,"('Intraday_OC', 'INR')",-0.05729593132271621,0.01634686657027694
78,"('Intraday_OC', 'JPY')",0.06207797990892624,-0.014852616352404759
79,"('Intraday_OC', 'KRW')",-0.029342094539100402,-0.02384139273724031
80,"('Intraday_OC', 'LKR')",-0.007860136495524691,0.0300740070957808
81,"('Intraday_OC', 'MNT')",0.01329462805655896,0.019003780792990962
82,"('Intraday_OC', 'MYR')",-0.10441040844126412,0.01866474700920617
83,"('Intraday_OC', 'NZD')",-0.012922075232179656,-0.02621709973617451
84,"('Intraday_OC', 'PHP')",-0.05655459150447573,0.021779717664255058
85,"('Intraday_OC', 'PKR')",-0.07741308637508955,-0.059366335656498896
86,"('Intraday_OC', 'SGD')",0.01134988426982239,0.0025678110485063094
87,"('Intraday_OC', 'THB')",-0.002240396619274827,0.025927144000669124
88,"('Intraday_OC', 'TWD')",-0.0517863242258038,0.01217426310203568
89,"('Intraday_OC', 'VND')",-0.03685258941985875,-0.020114544215604137
90,"('Intraday_HL', 'AUD')",-0.04697518429526665,-0.01663198214619592
91,"('Intraday_HL', 'BDT')",-0.002192263676661242,-0.018358782027464656
92,"('Intraday_HL', 'CNY')",-0.038682086904772824,-0.04239256865002805
93,"('Intraday_HL', 'HKD')",-0.05746784543986335,-0.05372453101350121
94,"('Intraday_HL', 'IDR')",-0.012510079045749679,-0.016412759801033194
95,"('Intraday_HL', 'INR')",-0.029264049647838183,-0.022519854470782193
96,"('Intraday_HL', 'JPY')",-0.03165848940676493,0.014760019199061841
97,"('Intraday_HL', 'KRW')",-0.05733343015953161,-0.040872771884149915
98,"('Intraday_HL', 'LKR')",0.006294929411419874,0.004202540449890725
99,"('Intraday_HL', 'MNT')",0.021353775488115612,0.03450672081703267
100,"('Intraday_HL', 'MYR')",-0.037599695672571654,-0.0035638586091903063
101,"('Intraday_HL', 'NZD')",-0.05289730593377117,-0.008799526648315478
102,"('Intraday_HL', 'PHP')",-0.03073906345684933,-0.028311068057874228
103,"('Intraday_HL', 'PKR')",-0.024982924528003693,-0.04095524493877628
104,"('Intraday_HL', 'SGD')",-0.01106025379883093,-0.0012882855370674017
105,"('Intraday_HL', 'THB')",-0.02770090086411976,-0.02771471319521294
106,"('Intraday_HL', 'TWD')",-0.028529016674578,-0.022074769697229966
107,"('Intraday_HL', 'VND')",0.006869495593269956,0.013006762172542524
108,"('Prev_close_open', 'AUD')",-0.01419136983924887,0.001030639495525872
109,"('Prev_close_open', 'BDT')",-0.024642743935995016,-0.0408939615798619
110,"('Prev_close_open', 'CNY')",-0.05991885815145776,0.005080842053199905
111,"('Prev_close_open', 'HKD')",0.021916849641925196,0.03567354496670619
112,"('Prev_close_open', 'IDR')",-0.02044786523451998,-0.007337819427610586
113,"('Prev_close_open', 'INR')",-0.043062171177667204,0.019464551864865096
114,"('Prev_close_open', 'JPY')",0.009861677170917075,0.024420379446396533
115,"('Prev_close_open', 'KRW')",-0.07066632279926782,0.04907969725173997
116,"('Prev_close_open', 'LKR')",-0.06067864635931378,-0.04539187467299863
117,"('Prev_close_open', 'MNT')",0.007589979226168802,-0.03303106475185708
118,"('Prev_close_open', 'MYR')",-0.06618609206316328,0.0016144516895716058
119,"('Prev_close_open', 'NZD')",-0.0023875119629901058,0.015469181370202333
120,"('Prev_close_open', 'PHP')",-0.05805652990305387,0.029897121108017954
121,"('Prev_close_open', 'PKR')",0.047936221487522614,0.018184040925349945
122,"('Prev_close_open', 'SGD')",0.013126795946163965,0.023386378100754845
123,"('Prev_close_open', 'THB')",-0.02703535557046847,0.00010301110612095436
124,"('Prev_close_open', 'TWD')",-0.011484094394715363,0.01312421621236544
125,"('Prev_close_open', 'VND')",0.007341658058774349,-0.0056407074322626346
126,"('Open_Ret', 'AUD')",-0.09607113776174624,-0.010419786743851325
127,"('Open_Ret', 'BDT')",0.016751973912046438,0.0018940905815752924
128,"('Open_Ret', 'CNY')",-0.0294869464689762,-0.023389409849233198
129,"('Open_Ret', 'HKD')",-0.03204117212448315,-0.06295458679276943
130,"('Open_Ret', 'IDR')",-0.060414621670119524,-0.03968671534347659
131,"('Open_Ret', 'INR')",-0.07180406223547066,-0.04453062446656598
132,"('Open_Ret', 'JPY')",0.06608637517511654,0.06442881576298062
133,"('Open_Ret', 'KRW')",-0.09613322093558639,-0.007651394036702287
134,"('Open_Ret', 'LKR')",-0.04293717501871437,-0.038484433422544595
135,"('Open_Ret', 'MNT')",0.015930517597502556,-0.014592473343086458
136,"('Open_Ret', 'MYR')",-0.05811824536217435,-0.09917685208175223
137,"('Open_Ret', 'NZD')",-0.07499370014885233,-0.010111847513250376
138,"('Open_Ret', 'PHP')",-0.11719912654395757,-0.03975118912793047
139,"('Open_Ret', 'PKR')",0.054328650933919614,-0.0639360197770536
140,"('Open_Ret', 'SGD')",-0.08264544128665156,0.014875134802910668
141,"('Open_Ret', 'THB')",-0.07721148573441829,-0.002693126372825777
142,"('Open_Ret', 'TWD')",-0.041594060168947206,-0.04703997115272266
143,"('Open_Ret', 'VND')",-0.027562865402363638,-0.0438677932917789
144,"('High_Ret', 'AUD')",-0.0972149386995882,0.013032386508900142
145,"('High_Ret', 'BDT')",-0.02179237623645934,0.0013808911705948323
146,"('High_Ret', 'CNY')",-0.045062364296374065,-0.01732995729244305
147,"('High_Ret', 'HKD')",-0.07991285942402764,-0.0006296343766661754
148,"('High_Ret', 'IDR')",-0.06275987892780448,0.006703647707506936
149,"('High_Ret', 'INR')",-0.08490470555658042,-0.0013834686036874142
150,"('High_Ret', 'JPY')",0.08491608093642238,0.05283615638555657
151,"('High_Ret', 'KRW')",-0.126903821359555,0.01575956553838525
152,"('High_Ret', 'LKR')",-0.059182227965029505,-0.01718500698428081
153,"('High_Ret', 'MNT')",0.014870215130234978,-0.009932201677702833
154,"('High_Ret', 'MYR')",-0.13013491993068582,-0.015097697518828597
155,"('High_Ret', 'NZD')",-0.09699501364486525,0.017888317729384352
156,"('High_Ret', 'PHP')",-0.11424909878875329,-0.005084677009005777
157,"('High_Ret', 'PKR')",0.01465704388354732,-0.05848940385726071
158,"('High_Ret', 'SGD')",-0.048591842243623264,0.03250249146553135
159,"('High_Ret', 'THB')",-0.057036512342318386,0.01606344389265764
160,"('High_Ret', 'TWD')",-0.0889092290358873,-0.008716835409192748
161,"('High_Ret', 'VND')",-0.04351960188606405,-0.023754584599922256
162,"('Low_Ret', 'AUD')",-0.07504576585173339,-0.01241340752885864
163,"('Low_Ret', 'BDT')",0.04782277338592543,0.026667679664287576
164,"('Low_Ret', 'CNY')",-0.03302751869501459,-0.01310297235195243
165,"('Low_Ret', 'HKD')",-0.05443124676491539,-0.004435858439773206
166,"('Low_Ret', 'IDR')",-0.0514422382466724,0.010256600188196545
167,"('Low_Ret', 'INR')",-0.10437671941333729,-0.007826234560429112
168,"('Low_Ret', 'JPY')",0.07723379985365265,0.004454422483998888
169,"('Low_Ret', 'KRW')",-0.09423209595714736,0.003698711950762069
170,"('Low_Ret', 'LKR')",-0.022740095468092743,-0.014336840906629638
171,"('Low_Ret', 'MNT')",0.0035536821092810944,-0.02795659065418868
172,"('Low_Ret', 'MYR')",-0.07530119320495801,-0.04448527133561461
173,"('Low_Ret', 'NZD')",-0.061126628752114595,-0.019715045484004358
174,"('Low_Ret', 'PHP')",-0.10294502594553646,-0.007823388810275807
175,"('Low_Ret', 'PKR')",0.012395708236809685,-0.034919642371705355
176,"('Low_Ret', 'SGD')",-0.05276381234215962,0.025457464593810313
177,"('Low_Ret', 'THB')",-0.06611853639673797,0.016986352337643486
178,"('Low_Ret', 'TWD')",-0.06301724475537372,-0.014396352712075162
179,"('Low_Ret', 'VND')",-0.04097828048336789,-0.03570236218323769
180,"('Close_Ret', 'AUD')",-0.012940943880556551,-0.024961776878876143
181,"('Close_Ret', 'BDT')",0.018187089020253424,-0.006680112258833283
182,"('Close_Ret', 'CNY')",-0.0555554418239889,-0.004478442699234569
183,"('Close_Ret', 'HKD')",-0.06571653056420117,0.01700002044973511
184,"('Close_Ret', 'IDR')",-0.047587014524488554,0.018564797757619076
185,"('Close_Ret', 'INR')",-0.07250881911806932,0.023775676013742836
186,"('Close_Ret', 'JPY')",0.06349621489359912,-0.011218601922326647
187,"('Close_Ret', 'KRW')",-0.055689467522074404,-0.0025691580317020383
188,"('Close_Ret', 'LKR')",-0.04944145752062794,5.1204441433787825e-05
189,"('Close_Ret', 'MNT')",0.021889054052248186,-0.01104929016883609
190,"('Close_Ret', 'MYR')",-0.11414476105858543,0.017656970164369935
191,"('Close_Ret', 'NZD')",-0.013166637752881735,-0.023242946263105333
192,"('Close_Ret', 'PHP')",-0.08526756698805875,0.03665906047961652
193,"('Close_Ret', 'PKR')",-0.04184805536123641,-0.04613296692348842
194,"('Close_Ret', 'SGD')",0.013469088680651175,0.0063865849592004125
195,"('Close_Ret', 'THB')",-0.009748679863917824,0.026178235078483783
196,"('Close_Ret', 'TWD')",-0.057560558755404646,0.01775336740670991
197,"('Close_Ret', 'VND')",-0.03750533304656144,-0.029993606798637988
198,"('Open_Ret_MA_3', 'AUD')",-0.1031980007805592,-0.07306138381255962
199,"('Open_Ret_MA_3', 'BDT')",0.025589534981478045,0.01916628434864761
200,"('Open_Ret_MA_3', 'CNY')",-0.03446811938361453,-0.042735691303439544
201,"('Open_Ret_MA_3', 'HKD')",-0.05414663543729786,-0.06943592639957868
202,"('Open_Ret_MA_3', 'IDR')",-0.09311492799258145,-0.08968353187850851
203,"('Open_Ret_MA_3', 'INR')",-0.1127314753410434,-0.11687204668301956
204,"('Open_Ret_MA_3', 'JPY')",0.06536098436380221,0.09707898549115027
205,"('Open_Ret_MA_3', 'KRW')",-0.11678706514445265,-0.09117420877376313
206,"('Open_Ret_MA_3', 'LKR')",-0.03521673645028883,-0.0638404328961071
207,"('Open_Ret_MA_3', 'MNT')",0.0015260073703213092,0.004544846380201751
208,"('Open_Ret_MA_3', 'MYR')",-0.0629830662942085,-0.11214328573146852
209,"('Open_Ret_MA_3', 'NZD')",-0.10732462264134494,-0.07582810548531982
210,"('Open_Ret_MA_3', 'PHP')",-0.13293358072537667,-0.13372018387144097
211,"('Open_Ret_MA_3', 'PKR')",0.05089753607817296,-0.007044633363325174
212,"('Open_Ret_MA_3', 'SGD')",-0.09550107272195751,-0.05503248009170448
213,"('Open_Ret_MA_3', 'THB')",-0.06355977248650896,-0.0475923760819783
214,"('Open_Ret_MA_3', 'TWD')",-0.08743711487692181,-0.09737716103451735
215,"('Open_Ret_MA_3', 'VND')",-0.028597788079950733,-0.040052357185447335
216,"('Open_Ret_MA_15', 'AUD')",-0.04740194748918389,-0.048834408923297185
217,"('Open_Ret_MA_15', 'BDT')",0.0006663211220806095,0.004493421939040919
218,"('Open_Ret_MA_15', 'CNY')",-0.02049513833968124,-0.02157476945017678
219,"('Open_Ret_MA_15', 'HKD')",-0.026254266370978545,-0.04026278857949344
220,"('Open_Ret_MA_15', 'IDR')",-0.05037626239139545,-0.066125244645255
221,"('Open_Ret_MA_15', 'INR')",-0.06397548011267742,-0.06856655661176386
222,"('Open_Ret_MA_15', 'JPY')",0.06590422839349663,0.0775684936478745
223,"('Open_Ret_MA_15', 'KRW')",-0.06170529964011217,-0.062227448518020194
224,"('Open_Ret_MA_15', 'LKR')",0.006114052123350581,-0.006018594524279898
225,"('Open_Ret_MA_15', 'MNT')",0.0021317481211928033,-0.00454131219164046
226,"('Open_Ret_MA_15', 'MYR')",-0.029052070584279176,-0.04963081787506567
227,"('Open_Ret_MA_15', 'NZD')",-0.06055440596356363,-0.06522006359016379
228,"('Open_Ret_MA_15', 'PHP')",-0.03738842485840593,-0.042677363067180445
229,"('Open_Ret_MA_15', 'PKR')",0.029466199553852313,0.016168351109348198
230,"('Open_Ret_MA_15', 'SGD')",-0.03778464294107695,-0.03425076124241602
231,"('Open_Ret_MA_15', 'THB')",-0.01221490321124848,-0.01228417661663438
232,"('Open_Ret_MA_15', 'TWD')",-0.040737694338973444,-0.053805457925913174
233,"('Open_Ret_MA_15', 'VND')",-0.014856960253447803,-0.03518563532376869
234,"('Open_Ret_MA_45', 'AUD')",-0.026054852875957536,-0.024767913719702068
235,"('Open_Ret_MA_45', 'BDT')",0.007639384603279982,0.004641038383822663
236,"('Open_Ret_MA_45', 'CNY')",-0.011122017249134796,-0.011264073845678683
237,"('Open_Ret_MA_45', 'HKD')",-0.03390627857604069,-0.03969093135852313
238,"('Open_Ret_MA_45', 'IDR')",0.007799421103679411,0.012650039511048265
239,"('Open_Ret_MA_45', 'INR')",-0.04000047553050151,-0.04448453477178863
240,"('Open_Ret_MA_45', 'JPY')",0.04753070884246477,0.056295029656603546
241,"('Open_Ret_MA_45', 'KRW')",-0.027522113412654942,-0.023746029657553146
242,"('Open_Ret_MA_45', 'LKR')",0.00035923233633263673,-0.0021336018210027265
243,"('Open_Ret_MA_45', 'MNT')",-0.0009917441375033001,-0.0075288681917942725
244,"('Open_Ret_MA_45', 'MYR')",-0.015232287694645196,-0.023286544036195837
245,"('Open_Ret_MA_45', 'NZD')",-0.031427356804075955,-0.0314096419374418
246,"('Open_Ret_MA_45', 'PHP')",-0.027257393901554607,-0.025557450428763423
247,"('Open_Ret_MA_45', 'PKR')",-0.018689720167951392,-0.02847822199519603
248,"('Open_Ret_MA_45', 'SGD')",-0.025696374487736238,-0.019367198071379543
249,"('Open_Ret_MA_45', 'THB')",-0.018304453988946392,-0.016536239058309594
250,"('Open_Ret_MA_45', 'TWD')",-0.03397829819124321,-0.0343865912081431
251,"('Open_Ret_MA_45', 'VND')",-0.0017439947519741449,-0.008789861690992846
252,"('High_Ret_MA_3', 'AUD')",-0.09772978079744546,-0.07491943357268041
253,"('High_Ret_MA_3', 'BDT')",0.014049341888589773,0.006397799425625933
254,"('High_Ret_MA_3', 'CNY')",-0.045285288154187725,-0.047912202674845326
255,"('High_Ret_MA_3', 'HKD')",-0.07845637920744977,-0.06613863358558902
256,"('High_Ret_MA_3', 'IDR')",-0.10787471037749984,-0.06706484124680573
257,"('High_Ret_MA_3', 'INR')",-0.1346625020842768,-0.09476473905519658
258,"('High_Ret_MA_3', 'JPY')",0.07103517902603851,0.0974740412736405
259,"('High_Ret_MA_3', 'KRW')",-0.1366960141315188,-0.0923589227533318
260,"('High_Ret_MA_3', 'LKR')",-0.042976901215241024,-0.0630740045412474
261,"('High_Ret_MA_3', 'MNT')",0.01535391042410282,0.009209925291527447
262,"('High_Ret_MA_3', 'MYR')",-0.10030286494872225,-0.0968274164400707
263,"('High_Ret_MA_3', 'NZD')",-0.10057024213575146,-0.06680588569352455
264,"('High_Ret_MA_3', 'PHP')",-0.1531403774320842,-0.11115600827765199
265,"('High_Ret_MA_3', 'PKR')",0.02427309909082106,-0.043832629014019076
266,"('High_Ret_MA_3', 'SGD')",-0.07451865300032158,-0.03818897571626361
267,"('High_Ret_MA_3', 'THB')",-0.06235800790692433,-0.04234662781756985
268,"('High_Ret_MA_3', 'TWD')",-0.1186247800155911,-0.08610827709347238
269,"('High_Ret_MA_3', 'VND')",-0.026690092874669568,-0.04560192192924901
270,"('High_Ret_MA_15', 'AUD')",-0.05633919686028527,-0.05302522527223831
271,"('High_Ret_MA_15', 'BDT')",0.010676565548281947,0.007430892690175849
272,"('High_Ret_MA_15', 'CNY')",-0.022960762309574192,-0.02769639551018606
273,"('High_Ret_MA_15', 'HKD')",-0.039604145697563944,-0.039823445012809836
274,"('High_Ret_MA_15', 'IDR')",-0.06292013601527496,-0.06969445986673359
275,"('High_Ret_MA_15', 'INR')",-0.06946164034414859,-0.06807175166405631
276,"('High_Ret_MA_15', 'JPY')",0.06762283177984685,0.07892981643720895
277,"('High_Ret_MA_15', 'KRW')",-0.07478758309892009,-0.07008372082742689
278,"('High_Ret_MA_15', 'LKR')",-0.004619095610837796,-0.012822466491036752
279,"('High_Ret_MA_15', 'MNT')",0.0003811614012864789,-0.0013606846299390263
280,"('High_Ret_MA_15', 'MYR')",-0.046406392877318466,-0.04888922833470839
281,"('High_Ret_MA_15', 'NZD')",-0.06996305474663342,-0.0689413420045198
282,"('High_Ret_MA_15', 'PHP')",-0.04289528564905173,-0.042000831344870065
283,"('High_Ret_MA_15', 'PKR')",0.020951647656565823,0.004145443004975669
284,"('High_Ret_MA_15', 'SGD')",-0.039166608764460736,-0.033388081381928086
285,"('High_Ret_MA_15', 'THB')",-0.01783931665903982,-0.01924076778648362
286,"('High_Ret_MA_15', 'TWD')",-0.05089232186331109,-0.05755881457099463
287,"('High_Ret_MA_15', 'VND')",-0.038929274290359916,-0.04455986116710863
288,"('High_Ret_MA_45', 'AUD')",-0.032137222566869246,-0.026590101594412132
289,"('High_Ret_MA_45', 'BDT')",0.01543859773145156,0.012104382533222782
290,"('High_Ret_MA_45', 'CNY')",-0.01166528519923251,-0.012211351289699678
291,"('High_Ret_MA_45', 'HKD')",-0.04496230943426332,-0.04000092936184376
292,"('High_Ret_MA_45', 'IDR')",0.0067794205014551695,0.012680494037351555
293,"('High_Ret_MA_45', 'INR')",-0.047222248224381716,-0.04248085242294886
294,"('High_Ret_MA_45', 'JPY')",0.04977578447832863,0.058373990794859665
295,"('High_Ret_MA_45', 'KRW')",-0.03171287009489952,-0.02617138467891118
296,"('High_Ret_MA_45', 'LKR')",-0.0023283211053251054,-0.001188778103432919
297,"('High_Ret_MA_45', 'MNT')",-0.0036172130724368193,-0.006623188511199795
298,"('High_Ret_MA_45', 'MYR')",-0.022994475391070288,-0.021223061114302246
299,"('High_Ret_MA_45', 'NZD')",-0.03906513038861954,-0.0348359565009
300,"('High_Ret_MA_45', 'PHP')",-0.032735582513201335,-0.02341859429976839
301,"('High_Ret_MA_45', 'PKR')",-0.02572697783104858,-0.03678089830350701
302,"('High_Ret_MA_45', 'SGD')",-0.024987082860488195,-0.01507544384885897
303,"('High_Ret_MA_45', 'THB')",-0.01963857673726596,-0.01566492463899973
304,"('High_Ret_MA_45', 'TWD')",-0.038952436677403994,-0.03480658332836797
305,"('High_Ret_MA_45', 'VND')",-0.0028117758690261135,-0.005176721511341219
306,"('Low_Ret_MA_3', 'AUD')",-0.10542062447885578,-0.08187822196463412
307,"('Low_Ret_MA_3', 'BDT')",0.016807988262084014,0.036710091399867535
308,"('Low_Ret_MA_3', 'CNY')",-0.04246764199480291,-0.036010767081912726
309,"('Low_Ret_MA_3', 'HKD')",-0.05191983549301664,-0.037277249480274464
310,"('Low_Ret_MA_3', 'IDR')",-0.09956501270335748,-0.07268139062012252
311,"('Low_Ret_MA_3', 'INR')",-0.12630277668289072,-0.09485580235876898
312,"('Low_Ret_MA_3', 'JPY')",0.0889934061257081,0.07234103152775345
313,"('Low_Ret_MA_3', 'KRW')",-0.12681672347071332,-0.08617221270192874
314,"('Low_Ret_MA_3', 'LKR')",-0.037470468765558054,-0.04103922584672761
315,"('Low_Ret_MA_3', 'MNT')",0.01239543268186838,-0.006110138398942519
316,"('Low_Ret_MA_3', 'MYR')",-0.08411400395477363,-0.0943251287984346
317,"('Low_Ret_MA_3', 'NZD')",-0.09733560674968626,-0.07858500857600031
318,"('Low_Ret_MA_3', 'PHP')",-0.1435205794304833,-0.11172892897376271
319,"('Low_Ret_MA_3', 'PKR')",0.01992371846093349,0.004418645605064062
320,"('Low_Ret_MA_3', 'SGD')",-0.09212561745723048,-0.04709417677833955
321,"('Low_Ret_MA_3', 'THB')",-0.07889822423324243,-0.046934641215123314
322,"('Low_Ret_MA_3', 'TWD')",-0.0951641757939443,-0.07182322227516524
323,"('Low_Ret_MA_3', 'VND')",-0.04069671856550282,-0.049971223580556695
324,"('Low_Ret_MA_15', 'AUD')",-0.04812996345870538,-0.05156525283348437
325,"('Low_Ret_MA_15', 'BDT')",-0.0130533578699084,0.009189067720795873
326,"('Low_Ret_MA_15', 'CNY')",-0.019072513640831863,-0.02347707394078011
327,"('Low_Ret_MA_15', 'HKD')",-0.02587148103162147,-0.02555066887466639
328,"('Low_Ret_MA_15', 'IDR')",-0.06061145032002838,-0.05975917975301894
329,"('Low_Ret_MA_15', 'INR')",-0.06513444004185906,-0.06527314556755277
330,"('Low_Ret_MA_15', 'JPY')",0.07787881179306044,0.07592166467301274
331,"('Low_Ret_MA_15', 'KRW')",-0.06693625908177869,-0.06480488140143581
332,"('Low_Ret_MA_15', 'LKR')",0.0027580494501793945,-0.003370819117068137
333,"('Low_Ret_MA_15', 'MNT')",0.0041877848995569445,-0.0006793978568664843
334,"('Low_Ret_MA_15', 'MYR')",-0.03997335575017956,-0.046792677520693694
335,"('Low_Ret_MA_15', 'NZD')",-0.06304012813188407,-0.0688357430420921
336,"('Low_Ret_MA_15', 'PHP')",-0.03731318568921832,-0.03779601462637313
337,"('Low_Ret_MA_15', 'PKR')",0.021454946418729356,0.010584131186095113
338,"('Low_Ret_MA_15', 'SGD')",-0.0357851743076426,-0.03168844151140321
339,"('Low_Ret_MA_15', 'THB')",-0.012182044703195305,-0.005856529171642777
340,"('Low_Ret_MA_15', 'TWD')",-0.05111125137128925,-0.050833781116008885
341,"('Low_Ret_MA_15', 'VND')",-0.0037773576395101873,-0.02965261442278376
342,"('Low_Ret_MA_45', 'AUD')",-0.024473240590598997,-0.02538423670520933
343,"('Low_Ret_MA_45', 'BDT')",0.009200091344643883,0.0190133901637262
344,"('Low_Ret_MA_45', 'CNY')",-0.010097596805336841,-0.009663912820829712
345,"('Low_Ret_MA_45', 'HKD')",-0.03004920179637484,-0.02310293516028321
346,"('Low_Ret_MA_45', 'IDR')",0.007409621779845213,0.018951815549255565
347,"('Low_Ret_MA_45', 'INR')",-0.039961073035239825,-0.03992712939727354
348,"('Low_Ret_MA_45', 'JPY')",0.05560027253300395,0.0587906057445286
349,"('Low_Ret_MA_45', 'KRW')",-0.025059256939710183,-0.02336937858662829
350,"('Low_Ret_MA_45', 'LKR')",0.0009353460089233549,-0.0010420631277079616
351,"('Low_Ret_MA_45', 'MNT')",-0.0025116092002298745,-0.009712859671321305
352,"('Low_Ret_MA_45', 'MYR')",-0.018710295838732977,-0.019644122205042896
353,"('Low_Ret_MA_45', 'NZD')",-0.03077434601770759,-0.03207822845774217
354,"('Low_Ret_MA_45', 'PHP')",-0.024852220787111187,-0.019287196230820904
355,"('Low_Ret_MA_45', 'PKR')",-0.025191995835381082,-0.03399082823349696
356,"('Low_Ret_MA_45', 'SGD')",-0.02263313057770083,-0.01785595171599117
357,"('Low_Ret_MA_45', 'THB')",-0.016398443058947627,-0.015149159302304236
358,"('Low_Ret_MA_45', 'TWD')",-0.032293518945191294,-0.034324103402655265
