,accuracy,args,target_market,feature_used
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.046, 'solver': 'auto'}",BDT,VND
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.07100000000000001, 'solver': 'auto'}",BDT,VND
0,0.6053639846743295,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.056, 'solver': 'sag'}",BDT,VND
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.076, 'solver': 'auto'}",BDT,VND
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.061, 'solver': 'auto'}",BDT,VND
0,0.6053639846743295,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.066, 'solver': 'sag'}",BDT,VND
0,0.603448275862069,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.076, 'solver': 'sag'}",BDT,VND
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.056, 'solver': 'auto'}",BDT,VND
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.091, 'solver': 'auto'}",BDT,VND
0,0.6053639846743295,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.07100000000000001, 'solver': 'sag'}",BDT,VND
0,0.6053639846743295,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.061, 'solver': 'sag'}",BDT,VND
0,0.6053639846743295,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.08600000000000001, 'solver': 'sag'}",BDT,VND
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.066, 'solver': 'auto'}",BDT,VND
0,0.6053639846743295,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.091, 'solver': 'sag'}",BDT,VND
0,0.603448275862069,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.081, 'solver': 'sag'}",BDT,VND
0,0.5862068965517241,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'sag'}",BDT,VND
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.081, 'solver': 'auto'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.006, 'solver': 'auto'}",BDT,VND
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.096, 'solver': 'auto'}",BDT,VND
0,0.5996168582375478,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.096, 'solver': 'sag'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.011, 'solver': 'auto'}",BDT,VND
0,0.60727969348659,"{'alpha': 0.01, 'fit_intercept': True, 'normalize': False, 'tol': 0.08600000000000001, 'solver': 'auto'}",BDT,VND
0,0.5862068965517241,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.011, 'solver': 'sag'}",BDT,VND
0,0.5881226053639846,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.016, 'solver': 'sag'}",BDT,VND
0,0.5919540229885057,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.026000000000000002, 'solver': 'sag'}",BDT,VND
0,0.5938697318007663,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.036000000000000004, 'solver': 'sag'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.031, 'solver': 'auto'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.026000000000000002, 'solver': 'auto'}",BDT,VND
0,0.5881226053639846,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.006, 'solver': 'sag'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.016, 'solver': 'auto'}",BDT,VND
0,0.5938697318007663,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.041, 'solver': 'sag'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.021, 'solver': 'auto'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.036000000000000004, 'solver': 'auto'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.041, 'solver': 'auto'}",BDT,VND
0,0.5862068965517241,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.021, 'solver': 'sag'}",BDT,VND
0,0.5938697318007663,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.031, 'solver': 'sag'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.051000000000000004, 'solver': 'auto'}",BDT,VND
0,0.5957854406130269,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.051000000000000004, 'solver': 'sag'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.056, 'solver': 'auto'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.061, 'solver': 'auto'}",BDT,VND
0,0.5957854406130269,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.046, 'solver': 'sag'}",BDT,VND
0,0.5919540229885057,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.07100000000000001, 'solver': 'sag'}",BDT,VND
0,0.5919540229885057,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.076, 'solver': 'sag'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.081, 'solver': 'auto'}",BDT,VND
0,0.603448275862069,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.091, 'solver': 'sag'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.066, 'solver': 'auto'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.046, 'solver': 'auto'}",BDT,VND
0,0.6015325670498084,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.08600000000000001, 'solver': 'sag'}",BDT,VND
0,0.5996168582375478,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.061, 'solver': 'sag'}",BDT,VND
0,0.5842911877394636,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.076, 'solver': 'auto'}",BDT,VND
0,0.5957854406130269,"{'alpha': 0.060000000000000005, 'fit_intercept': True, 'normalize': True, 'tol': 0.081, 'solver': 'sag'}",BDT,VND
